account,sale_month,gained_locations,lost_locations,net_location_change
WEBSTER,2024-12-01 00:00:00,3,6,-3
TAMA,2024-12-01 00:00:00,1,4,-3
KOSSUTH,2024-12-01 00:00:00,4,1,3
CASS,2024-12-01 00:00:00,0,3,-3
MAHASKA,2024-12-01 00:00:00,1,4,-3
POTTAWATTAMIE,2024-12-01 00:00:00,9,12,-3
UNION,2024-12-01 00:00:00,4,1,3
WARREN,2024-12-01 00:00:00,5,8,-3
CALHOUN,2024-12-01 00:00:00,4,1,3
IDA,2024-12-01 00:00:00,2,0,2
RINGGOLD,2024-12-01 00:00:00,0,2,-2
CLINTON,2024-12-01 00:00:00,4,6,-2
BUENA VISTA,2024-12-01 00:00:00,2,4,-2
WASHINGTON,2024-12-01 00:00:00,4,2,2
SHELBY,2024-12-01 00:00:00,2,0,2
JONES,2024-12-01 00:00:00,2,0,2
DICKINSON,2024-12-01 00:00:00,1,3,-2
CHEROKEE,2024-12-01 00:00:00,0,2,-2
BENTON,2024-12-01 00:00:00,5,3,2
LOUISA,2024-12-01 00:00:00,0,2,-2
LUCAS,2024-12-01 00:00:00,1,3,-2
CARROLL,2024-12-01 00:00:00,3,1,2
BOONE,2024-12-01 00:00:00,0,2,-2
O'BRIEN,2024-12-01 00:00:00,3,1,2
FAYETTE,2024-12-01 00:00:00,4,2,2
JACKSON,2024-12-01 00:00:00,3,1,2
FLOYD,2024-12-01 00:00:00,2,0,2
WORTH,2024-12-01 00:00:00,2,0,2
PAGE,2024-12-01 00:00:00,0,2,-2
MADISON,2024-12-01 00:00:00,0,2,-2
HARDIN,2024-12-01 00:00:00,4,3,1
HOWARD,2024-12-01 00:00:00,1,2,-1
WAYNE,2024-12-01 00:00:00,1,0,1
BUTLER,2024-12-01 00:00:00,0,1,-1
MARSHALL,2024-12-01 00:00:00,3,4,-1
HANCOCK,2024-12-01 00:00:00,1,0,1
HAMILTON,2024-12-01 00:00:00,1,2,-1
SIOUX,2024-12-01 00:00:00,6,5,1
BREMER,2024-12-01 00:00:00,2,1,1
ADAMS,2024-12-01 00:00:00,0,1,-1
JASPER,2024-12-01 00:00:00,6,5,1
MONTGOMERY,2024-12-01 00:00:00,1,2,-1
HARRISON,2024-12-01 00:00:00,1,0,1
POCAHONTAS,2024-12-01 00:00:00,1,0,1
LEE,2024-12-01 00:00:00,7,6,1
SCOTT,2024-12-01 00:00:00,19,20,-1
APPANOOSE,2024-12-01 00:00:00,0,1,-1
BUCHANAN,2024-12-01 00:00:00,3,4,-1
FREMONT,2024-12-01 00:00:00,0,1,-1
AUDUBON,2024-12-01 00:00:00,1,0,1
CLAY,2024-12-01 00:00:00,2,1,1
KEOKUK,2024-12-01 00:00:00,1,0,1
OSCEOLA,2024-12-01 00:00:00,0,1,-1
CRAWFORD,2024-12-01 00:00:00,1,2,-1
MITCHELL,2024-12-01 00:00:00,0,1,-1
VAN BUREN,2024-12-01 00:00:00,1,0,1
HENRY,2024-12-01 00:00:00,2,3,-1
ADAIR,2024-12-01 00:00:00,3,2,1
GRUNDY,2024-12-01 00:00:00,1,2,-1
JEFFERSON,2024-12-01 00:00:00,1,0,1
EMMET,2024-12-01 00:00:00,0,1,-1
MILLS,2024-12-01 00:00:00,2,1,1
GUTHRIE,2024-12-01 00:00:00,2,1,1
