account,sale_month,driver_type,driver_key,delta_volume,driver_bucket
DALLAS,2024-12-01,category,SPICED RUM,-629.25,top_detractor
DALLAS,2024-12-01,category,IMPORTED VODKAS,-179.25,top_detractor
DALLAS,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-61.55,top_detractor
DALLAS,2024-12-01,category,BLENDED WHISKIES,-27.7,top_detractor
DALLAS,2024-12-01,category,CREAM LIQUEURS,-12.0,top_detractor
DALLAS,2024-12-01,category,WHISKEY LIQUEUR,143.04999999999998,top_driver
DALLAS,2024-12-01,category,CANADIAN WHISKIES,-8.07,top_driver
DALLAS,2024-12-01,category,FLAVORED GIN,-4.549999999999997,top_driver
DALLAS,2024-12-01,category,IRISH WHISKIES,-4.2,top_driver
DALLAS,2024-12-01,category,AMERICAN VODKAS,-3.85,top_driver
DALLAS,2024-12-01,category,100% AGAVE TEQUILA,3.45,top_driver
DALLAS,2024-12-01,category,IMPORTED BRANDIES,-1.07,top_driver
DALLAS,2024-12-01,category,AMERICAN FLAVORED VODKA,1.05,top_driver
DALLAS,2024-12-01,category,AMERICAN SCHNAPPS,-0.05,top_driver
DALLAS,2024-12-01,category,IMPORTED DISTILLED SPIRITS SPECIALTY,0.0,top_driver
DALLAS,2024-12-01,item,BUFFALO TRACE BOURBON CREAM,107.25,top_driver
DALLAS,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,-5.4,top_driver
DALLAS,2024-12-01,item,REVELTON MULBERRY GIN,-4.5,top_driver
DALLAS,2024-12-01,item,CAPTAIN MORGAN ORIGINAL SPICED,-1.12,top_driver
DALLAS,2024-12-01,item,SKREWBALL PEANUT BUTTER WHISKEY MINI,-0.5499999999999999,top_driver
DALLAS,2024-12-01,item,CROWN ROYAL MINI,0.5,top_driver
DALLAS,2024-12-01,item,HAWKEYE VODKA MINI,0.0,top_driver
DALLAS,2024-12-01,item,99 STRAWBERRIES MINI,0.0,top_driver
DALLAS,2024-12-01,store,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,-666.6,top_driver
DALLAS,2024-12-01,store,"COSTCO WHOLESALE #788 / WDM",247.5,top_driver
DALLAS,2024-12-01,store,HY-VEE / WAUKEE,104.4,top_driver
DALLAS,2024-12-01,store,"FAREWAY STORES #470 / PERRY",-2.5,top_driver
DALLAS,2024-12-01,store,"CASEY'S GENERAL STORE #2553 / REDFIELD",0.95,top_driver
DALLAS,2024-12-01,store,"KUM & GO #1202 / WAUKEE",-0.95,top_driver
DALLAS,2024-12-01,store,"CASEY'S GENERAL STORE # 2179/ WAUKEE",0.75,top_driver
DALLAS,2024-12-01,store,STAR LIQUOR TOBACCO AND VAPE / WAUKEE,-0.27000000000000046,top_driver
DALLAS,2024-12-01,store,"CASEY'S GENERAL STORE #91 / DALLAS CENTER",0.15000000000000002,top_driver
DALLAS,2024-12-01,store,"KUM & GO #2093 / ADEL",0.0,top_driver
DELAWARE,2024-12-01,category,TENNESSEE WHISKIES,0.7,top_driver
DELAWARE,2024-12-01,category,BLENDED WHISKIES,0.15000000000000002,top_driver
DELAWARE,2024-12-01,category,100% AGAVE TEQUILA,0.0,top_driver
DELAWARE,2024-12-01,item,SKREWBALL PEANUT BUTTER WHISKEY MINI,0.0,top_driver
DELAWARE,2024-12-01,store,CORK 'N BOTTLE / MANCHESTER,0.8,top_driver
DES MOINES,2024-12-01,category,BLENDED WHISKIES,-1.35,top_detractor
DES MOINES,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-1.1799999999999997,top_detractor
DES MOINES,2024-12-01,category,AMERICAN VODKAS,1022.7,top_driver
DES MOINES,2024-12-01,category,COFFEE LIQUEURS,44.95,top_driver
DES MOINES,2024-12-01,category,CANADIAN WHISKIES,32.989999999999995,top_driver
DES MOINES,2024-12-01,category,WHISKEY LIQUEUR,2.1999999999999997,top_driver
DES MOINES,2024-12-01,category,AMERICAN FLAVORED VODKA,2.1500000000000004,top_driver
DES MOINES,2024-12-01,category,100% AGAVE TEQUILA,-0.8799999999999999,top_driver
DES MOINES,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,0.7,top_driver
DES MOINES,2024-12-01,category,AMERICAN DRY GINS,0.4,top_driver
DES MOINES,2024-12-01,category,TENNESSEE WHISKIES,-0.15000000000000002,top_driver
DES MOINES,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,0.0,top_driver
DES MOINES,2024-12-01,item,NIKOLAI VODKA,787.5,top_driver
DES MOINES,2024-12-01,item,BLACK VELVET,24.37,top_driver
DES MOINES,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,1.7999999999999998,top_driver
DES MOINES,2024-12-01,item,CROWN ROYAL PEACH,0.8700000000000001,top_driver
DES MOINES,2024-12-01,item,JACK DANIELS TENNESSEE HONEY MINI,0.5499999999999999,top_driver
DES MOINES,2024-12-01,item,WILD TURKEY 101,-0.38,top_driver
DES MOINES,2024-12-01,store,GASLAND / BURLINGTON,-26.68,top_detractor
DES MOINES,2024-12-01,store,"CIRCLE K #4706601 / BURLINGTON",-2.1,top_detractor
DES MOINES,2024-12-01,store,"HY-VEE FOOD STORE #1 (1042) / BURLINGTON",1049.25,top_driver
DES MOINES,2024-12-01,store,"HY-VEE #2 (1044) / BURLINGTON",37.95,top_driver
DES MOINES,2024-12-01,store,IOWA SPIRITS / BURLINGTON,31.35,top_driver
DES MOINES,2024-12-01,store,"CASEY'S GENERAL STORE #2019 / WEST BURLINGTON",2.35,top_driver
DES MOINES,2024-12-01,store,LIGHTNING LIQUOR AND SMOKE SHOP - BURLINGTON,1.52,top_driver
DES MOINES,2024-12-01,store,"SMOKIN' JOE'S #17 TOBACCO AND LIQUOR OUTLET",1.0700000000000003,top_driver
DES MOINES,2024-12-01,store,MEPO FOODS / MEDIAPOLIS,-0.75,top_driver
DES MOINES,2024-12-01,store,"MK MINIMART, INC",0.5700000000000001,top_driver
DES MOINES,2024-12-01,store,WESTLAND FAST BREAK,-0.44999999999999996,top_driver
DES MOINES,2024-12-01,store,SHERPA LIQUOR & TOBACCO OUTLET 1 / BURLINGTON,-0.35,top_driver
DICKINSON,2024-12-01,category,AMERICAN VODKAS,-77.4,top_driver
DICKINSON,2024-12-01,category,CANADIAN WHISKIES,-53.06999999999999,top_driver
DICKINSON,2024-12-01,category,IMPORTED DISTILLED SPIRITS SPECIALTY,-35.25,top_driver
DICKINSON,2024-12-01,category,IMPORTED CORDIALS & LIQUEURS,-0.7,top_driver
DICKINSON,2024-12-01,category,MIXTO TEQUILA,-0.35,top_driver
DICKINSON,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-0.25,top_driver
DICKINSON,2024-12-01,category,IRISH WHISKIES,0.0,top_driver
DICKINSON,2024-12-01,category,SINGLE MALT SCOTCH,0.0,top_driver
DICKINSON,2024-12-01,item,BLACK VELVET,-59.4,top_driver
DICKINSON,2024-12-01,item,JOSE CUERVO ESPECIAL REPOSADO,-0.6,top_driver
DICKINSON,2024-12-01,item,CROWN ROYAL REGAL APPLE,0.20000000000000007,top_driver
DICKINSON,2024-12-01,item,FIVE O'CLOCK VODKA,0.0,top_driver
DICKINSON,2024-12-01,item,LAGAVULIN 16YR,0.0,top_driver
DICKINSON,2024-12-01,item,TITOS HANDMADE VODKA MINI,0.0,top_driver
DICKINSON,2024-12-01,item,BIB & TUCKER SMALL BATCH BOURBON AGED 6YR,0.0,top_driver
DICKINSON,2024-12-01,store,HY-VEE WINE AND SPIRITS (1628) / SPIRIT LAKE,-91.7,top_driver
DICKINSON,2024-12-01,store,TOBACCO SHOP / ARNOLDS PARK,-36.15,top_driver
DICKINSON,2024-12-01,store,OKOBOJI AVENUE LIQUOR,-36.0,top_driver
DICKINSON,2024-12-01,store,"CASEY'S GENERAL STORE #1315 / ARNOLDS PARK",0.0,top_driver
DICKINSON,2024-12-01,store,"CASEY'S GENERAL STORE #2487 / SPIRIT LAKE",0.0,top_driver
DUBUQUE,2024-12-01,category,AMERICAN VODKAS,-623.55,top_detractor
DUBUQUE,2024-12-01,category,BLENDED WHISKIES,-174.35,top_detractor
DUBUQUE,2024-12-01,category,TENNESSEE WHISKIES,-167.9,top_detractor
DUBUQUE,2024-12-01,category,AMERICAN DRY GINS,-103.88,top_detractor
DUBUQUE,2024-12-01,category,AMERICAN CORDIALS & LIQUEURS,-1.0,top_detractor
DUBUQUE,2024-12-01,category,IMPORTED BRANDIES,-0.6700000000000002,top_detractor
DUBUQUE,2024-12-01,category,NEUTRAL GRAIN SPIRITS,-0.35000000000000003,top_detractor
DUBUQUE,2024-12-01,category,AMERICAN FLAVORED VODKA,-0.1499999999999999,top_detractor
DUBUQUE,2024-12-01,category,IMPORTED VODKAS,62.55,top_driver
DUBUQUE,2024-12-01,category,STRAIGHT BOURBON WHISKIES,44.15,top_driver
DUBUQUE,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,30.75,top_driver
DUBUQUE,2024-12-01,category,CREAM LIQUEURS,18.45,top_driver
DUBUQUE,2024-12-01,category,IMPORTED DISTILLED SPIRITS SPECIALTY,6.38,top_driver
DUBUQUE,2024-12-01,category,100% AGAVE TEQUILA,4.849999999999994,top_driver
DUBUQUE,2024-12-01,category,WHISKEY LIQUEUR,1.0699999999999994,top_driver
DUBUQUE,2024-12-01,category,MIXTO TEQUILA,1.0499999999999998,top_driver
DUBUQUE,2024-12-01,category,CANADIAN WHISKIES,-0.04999999999999982,top_driver
DUBUQUE,2024-12-01,category,AMERICAN SCHNAPPS,0.0,top_driver
DUBUQUE,2024-12-01,item,ABSOLUT SWEDISH VODKA 80PRF,-63.0,top_detractor
DUBUQUE,2024-12-01,item,SMIRNOFF 80PRF,-0.75,top_detractor
DUBUQUE,2024-12-01,item,KINKY PINK MINI,-0.5499999999999999,top_detractor
DUBUQUE,2024-12-01,item,ABSOLUT SWEDISH VODKA 80PRF MINI,-0.45,top_detractor
DUBUQUE,2024-12-01,item,SOUTHERN COMFORT MINI,-0.4,top_detractor
DUBUQUE,2024-12-01,item,OLE SMOKY BLUE FLAME MOONSHINE MINI,-0.35000000000000003,top_detractor
DUBUQUE,2024-12-01,item,TITOS HANDMADE VODKA MINI,-0.25,top_detractor
DUBUQUE,2024-12-01,item,PATRON REPOSADO 200ML,-0.19999999999999996,top_detractor
DUBUQUE,2024-12-01,item,"JACK DANIELS OLD #7 BLACK LABEL MINI",-0.04999999999999999,top_detractor
DUBUQUE,2024-12-01,item,PATRON SILVER,0.0,top_detractor
DUBUQUE,2024-12-01,item,JIM BEAM,41.95,top_driver
DUBUQUE,2024-12-01,item,TITOS HANDMADE VODKA,6.0,top_driver
DUBUQUE,2024-12-01,item,FIREBALL CINNAMON WHISKEY 100ML CARRIER,0.7999999999999998,top_driver
DUBUQUE,2024-12-01,item,SEAGRAMS EXTRA DRY GIN,0.7500000000000001,top_driver
DUBUQUE,2024-12-01,item,SOUTHERN COMFORT,0.6700000000000002,top_driver
DUBUQUE,2024-12-01,item,JIM BEAM MINI,0.5499999999999999,top_driver
DUBUQUE,2024-12-01,item,SMIRNOFF 80PRF MINI,0.5,top_driver
DUBUQUE,2024-12-01,item,UV RED CHERRY MINI,0.44999999999999996,top_driver
DUBUQUE,2024-12-01,item,MCCORMICK 80PRF VODKA MINI,0.25,top_driver
DUBUQUE,2024-12-01,item,JOSE CUERVO ESPECIAL REPOSADO MINI,0.09999999999999999,top_driver
DUBUQUE,2024-12-01,store,"HY-VEE FOOD STORE #1 (1159) / DUBUQUE",-817.1700000000001,top_detractor
DUBUQUE,2024-12-01,store,SAM'S CLUB 4973 / DUBUQUE,-64.5,top_detractor
DUBUQUE,2024-12-01,store,"HY-VEE #2 / DUBUQUE",-41.75,top_detractor
DUBUQUE,2024-12-01,store,"HY-VEE #3 / DUBUQUE",-31.25,top_detractor
DUBUQUE,2024-12-01,store,"LIQUOR, TOBACCO & GROCERY / DUBUQUE",-22.45,top_detractor
DUBUQUE,2024-12-01,store,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,-7.300000000000002,top_detractor
DUBUQUE,2024-12-01,store,DUBUQUE WINE & SPIRITS,-2.5999999999999996,top_detractor
DUBUQUE,2024-12-01,store,KWIK STOP FOOD MART / DUBUQUE,-1.77,top_detractor
DUBUQUE,2024-12-01,store,"BROTHERS MARKET, INC. / CASCADE",-0.75,top_detractor
DUBUQUE,2024-12-01,store,"HARTIG DRUG COMPANY #2 / LOCUST",-0.6,top_detractor
DUBUQUE,2024-12-01,store,SID'S BEVERAGE SHOP,34.99999999999999,top_driver
DUBUQUE,2024-12-01,store,SUPER STOP IV - DUBUQUE,2.35,top_driver
DUBUQUE,2024-12-01,store,"CASEY'S GENERAL STORE #2421 / DUBUQUE",1.9,top_driver
DUBUQUE,2024-12-01,store,"BIG 10 MART #11 / DUBUQUE",1.1700000000000002,top_driver
DUBUQUE,2024-12-01,store,EZ STOP 1 / DUBUQUE,0.5499999999999999,top_driver
DUBUQUE,2024-12-01,store,"CASEY'S GENERAL STORE #2561 / FARLEY",0.25,top_driver
DUBUQUE,2024-12-01,store,"FAREWAY STORES #114 / DUBUQUE",0.15000000000000002,top_driver
DUBUQUE,2024-12-01,store,DOWNTOWN GAS AND GROCERY / DUBUQUE,0.10000000000000002,top_driver
DUBUQUE,2024-12-01,store,"HARTIG DRUG COMPANY #3/JFK",0.0,top_driver
DUBUQUE,2024-12-01,store,MCDERMOTT OIL CO,0.0,top_driver
EMMET,2024-12-01,category,WHISKEY LIQUEUR,1.45,top_driver
EMMET,2024-12-01,category,AMERICAN VODKAS,0.39999999999999997,top_driver
EMMET,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,0.5999999999999999,top_driver
EMMET,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI DISPENSER,-0.14999999999999997,top_driver
EMMET,2024-12-01,item,HAWKEYE VODKA MINI,0.0,top_driver
EMMET,2024-12-01,store,"CASEY'S GENERAL STORE #3034 / ESTHERVILLE",1.5999999999999999,top_driver
EMMET,2024-12-01,store,"CASEY'S GENERAL STORE #1328 / ESTHERVILLE",0.45000000000000007,top_driver
FAYETTE,2024-12-01,category,AMERICAN VODKAS,-30.9,top_driver
FAYETTE,2024-12-01,category,AMERICAN SCHNAPPS,14.35,top_driver
FAYETTE,2024-12-01,category,WHISKEY LIQUEUR,0.5499999999999999,top_driver
FAYETTE,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,0.0,top_driver
FAYETTE,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,-1.1999999999999997,top_driver
FAYETTE,2024-12-01,item,HAWKEYE VODKA MINI,0.0,top_driver
FAYETTE,2024-12-01,store,SUPER MART / OELWEIN,13.65,top_driver
FAYETTE,2024-12-01,store,OELWEIN MART / OELWEIN,-0.050000000000000044,top_driver
FAYETTE,2024-12-01,store,"CASEY'S GENERAL STORE #3452 / WEST U",0.0,top_driver
FAYETTE,2024-12-01,store,6 CORNERS GAS & GRUB,0.0,top_driver
FAYETTE,2024-12-01,store,"CASEY'S GENERAL STORE #2682 / OELWEIN",0.0,top_driver
FLOYD,2024-12-01,category,AMERICAN SCHNAPPS,-27.0,top_driver
FLOYD,2024-12-01,category,WHISKEY LIQUEUR,-1.0999999999999999,top_driver
FLOYD,2024-12-01,category,CANADIAN WHISKIES,-0.75,top_driver
FLOYD,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-0.65,top_driver
FLOYD,2024-12-01,category,CREAM LIQUEURS,0.0,top_driver
FLOYD,2024-12-01,item,FIREBALL CINNAMON WHISKEY 100ML CARRIER,-0.7000000000000001,top_driver
FLOYD,2024-12-01,item,JIM BEAM PEACH MINI,0.1,top_driver
FLOYD,2024-12-01,item,CROWN ROYAL PEACH,0.0,top_driver
FLOYD,2024-12-01,item,TEQUILA ROSE LIQUEUR MINI,0.0,top_driver
FLOYD,2024-12-01,store,"CASEY'S GENERAL STORE #1139 / NORA SPRINGS",-1.0499999999999998,top_driver
FLOYD,2024-12-01,store,HY-VEE / CHARLES CITY,0.04999999999999999,top_driver
FRANKLIN,2024-12-01,store,"FAREWAY STORES #902 / HAMPTON",-29.95,top_driver
FREMONT,2024-12-01,category,WHISKEY LIQUEUR,1.15,top_driver
FREMONT,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,0.6,top_driver
FREMONT,2024-12-01,store,"CASEY'S GENERAL STORE #1503 / TABOR",-0.6700000000000002,top_driver
GREENE,2024-12-01,category,WHISKEY LIQUEUR,-1.95,top_driver
GREENE,2024-12-01,store,"CASEY'S GENERAL STORE #1617 / JEFFERSON",-0.2,top_driver
GRUNDY,2024-12-01,category,CANADIAN WHISKIES,-62.5,top_driver
GRUNDY,2024-12-01,category,AMERICAN VODKAS,30.75,top_driver
GRUNDY,2024-12-01,store,"CASEY'S GENERAL STORE #3055 / GRUNDY CENTER",31.9,top_driver
GRUNDY,2024-12-01,store,BROTHERS MARKET  /  GRUNDY CENTER,3.95,top_driver
GUTHRIE,2024-12-01,category,WHISKEY LIQUEUR,1.07,top_driver
GUTHRIE,2024-12-01,category,AMERICAN VODKAS,-0.5,top_driver
GUTHRIE,2024-12-01,item,FIREBALL CINNAMON WHISKEY,-1.87,top_driver
GUTHRIE,2024-12-01,item,TITOS HANDMADE VODKA MINI,0.2,top_driver
GUTHRIE,2024-12-01,store,HOMETOWN FOODS / STUART,-34.88,top_driver
GUTHRIE,2024-12-01,store,"KWIK STAR #1289 / STUART",0.2,top_driver
HAMILTON,2024-12-01,category,FLAVORED RUM,-1.07,top_driver
HAMILTON,2024-12-01,category,SINGLE BARREL BOURBON WHISKIES,0.75,top_driver
HAMILTON,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-0.3700000000000001,top_driver
HAMILTON,2024-12-01,category,WHISKEY LIQUEUR,0.05000000000000002,top_driver
HAMILTON,2024-12-01,category,AMERICAN VODKAS,-0.05,top_driver
HAMILTON,2024-12-01,category,TENNESSEE WHISKIES,0.0,top_driver
HAMILTON,2024-12-01,item,TITOS HANDMADE VODKA MINI,-0.05,top_driver
HAMILTON,2024-12-01,item,FIREBALL CINNAMON WHISKEY PARTY BUCKET,0.0,top_driver
HAMILTON,2024-12-01,item,JACK DANIELS TENNESSEE HONEY MINI,0.0,top_driver
HAMILTON,2024-12-01,store,"CASEY'S GENERAL STORE #1828 / WEBSTER CITY",1.45,top_driver
HAMILTON,2024-12-01,store,KC STORE / STRATFORD,0.7000000000000001,top_driver
HAMILTON,2024-12-01,store,"CASEY'S GENERAL STORE # 3054/ WEBSTER CITY",0.15000000000000002,top_driver
HAMILTON,2024-12-01,store,HY-VEE FOOD STORE / WEBSTER CITY,0.0,top_driver
HANCOCK,2024-12-01,category,WHISKEY LIQUEUR,0.09999999999999998,top_driver
HANCOCK,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,0.0,top_driver
HANCOCK,2024-12-01,store,"CASEY'S GENERAL STORE #3043 / BRITT",-30.9,top_driver
HARDIN,2024-12-01,category,WHISKEY LIQUEUR,3.0999999999999996,top_driver
HARDIN,2024-12-01,category,AMERICAN VODKAS,1.2000000000000028,top_driver
HARDIN,2024-12-01,category,AMERICAN CORDIALS & LIQUEURS,0.05000000000000002,top_driver
HARDIN,2024-12-01,category,AMERICAN SCHNAPPS,-0.05,top_driver
HARDIN,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,0.0,top_driver
HARDIN,2024-12-01,category,STRAIGHT RYE WHISKIES,0.0,top_driver
HARDIN,2024-12-01,category,BLENDED WHISKIES,0.0,top_driver
HARDIN,2024-12-01,category,MIXTO TEQUILA,0.0,top_driver
HARDIN,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI SLEEVE,-1.1999999999999997,top_driver
HARDIN,2024-12-01,item,SMIRNOFF 80PRF MINI,0.5,top_driver
HARDIN,2024-12-01,item,KINKY BLUE MINI,-0.19999999999999998,top_driver
HARDIN,2024-12-01,item,BIRD DOG SALTED CARAMEL FLAVORED WHISKEY MINI,0.0,top_driver
HARDIN,2024-12-01,item,99 STRAWBERRIES MINI,0.0,top_driver
HARDIN,2024-12-01,store,"FAREWAY STORES #882 / ELDORA",31.049999999999997,top_driver
HARDIN,2024-12-01,store,"CASEY'S GENERAL STORE #2532 / ELDORA",2.35,top_driver
HARDIN,2024-12-01,store,"CASEY'S GENERAL STORE #3027 / IOWA FALLS",-1.55,top_driver
HARDIN,2024-12-01,store,"GOODSTOP BY CASEY'S #4313 / ELDORA",1.15,top_driver
HARDIN,2024-12-01,store,HY-VEE FOOD STORE (1295) / IOWA FALLS,-0.5,top_driver
HARDIN,2024-12-01,store,ROCK C LIQUOR & WINE & TOBACCO / IOWA FALLS,0.1499999999999999,top_driver
HARRISON,2024-12-01,category,CREAM LIQUEURS,2.35,top_driver
HARRISON,2024-12-01,category,AMERICAN CORDIALS & LIQUEURS,-0.7,top_driver
HARRISON,2024-12-01,category,IMPORTED DRY GINS,0.5,top_driver
HARRISON,2024-12-01,category,WHISKEY LIQUEUR,-0.15000000000000002,top_driver
HARRISON,2024-12-01,category,STRAIGHT BOURBON WHISKIES,0.0,top_driver
HARRISON,2024-12-01,category,TENNESSEE WHISKIES,0.0,top_driver
HARRISON,2024-12-01,item,FIREBALL CINNAMON WHISKEY PARTY BUCKET,0.0,top_driver
HARRISON,2024-12-01,store,FOOD LAND SUPER MARKETS,2.25,top_driver
HARRISON,2024-12-01,store,CROSSROADS WINE & SPIRITS LLC,0.8999999999999999,top_driver
HARRISON,2024-12-01,store,"CASEY'S GENERAL STORE #2665 / WOODBINE",-0.75,top_driver
HARRISON,2024-12-01,store,FOODLAND SUPER MARKETS / WOODBINE,0.0,top_driver
HENRY,2024-12-01,category,SPICED RUM,0.05000000000000002,top_driver
HENRY,2024-12-01,category,AMERICAN SCHNAPPS,0.0,top_driver
HENRY,2024-12-01,item,CAPTAIN MORGAN ORIGINAL SPICED MINI,0.05000000000000002,top_driver
HENRY,2024-12-01,item,99 STRAWBERRIES MINI,0.0,top_driver
HENRY,2024-12-01,store,"CASEY'S GENERAL STORE #1612 / MOUNT PLEASANT",-0.6499999999999999,top_driver
HENRY,2024-12-01,store,KRAMER'S INC.,-0.14999999999999997,top_driver
HOWARD,2024-12-01,category,CREAM LIQUEURS,-0.25,top_driver
HOWARD,2024-12-01,category,STRAIGHT BOURBON WHISKIES,0.050000000000000044,top_driver
HOWARD,2024-12-01,store,THE OX & WREN SPIRITS AND GIFTS,-45.949999999999996,top_driver
HOWARD,2024-12-01,store,HY-VEE CRESCO DOLLAR FRESH,-0.44999999999999996,top_driver
HUMBOLDT,2024-12-01,category,TENNESSEE WHISKIES,-0.04999999999999999,top_driver
HUMBOLDT,2024-12-01,item,"JACK DANIELS OLD #7 BLACK LABEL MINI",-0.04999999999999999,top_driver
HUMBOLDT,2024-12-01,store,"CASEY'S GENERAL STORE #51 / HUMBOLDT",0.0,top_driver
IDA,2024-12-01,category,CANADIAN WHISKIES,4.25,top_driver
IDA,2024-12-01,category,AMERICAN FLAVORED VODKA,0.65,top_driver
IDA,2024-12-01,category,TENNESSEE WHISKIES,-0.65,top_driver
IDA,2024-12-01,category,STRAIGHT BOURBON WHISKIES,0.0,top_driver
IDA,2024-12-01,item,"JACK DANIELS OLD #7 BLACK LABEL MINI",0.0,top_driver
IDA,2024-12-01,store,BREW IDA GROVE,-5.4,top_driver
IDA,2024-12-01,store,"SPIRITS, STOGIES AND STUFF",0.1499999999999999,top_driver
IOWA,2024-12-01,category,CANADIAN WHISKIES,-62.8,top_driver
IOWA,2024-12-01,category,AMERICAN VODKAS,-31.049999999999997,top_driver
IOWA,2024-12-01,category,IMPORTED SCHNAPPS,8.15,top_driver
IOWA,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,0.7499999999999999,top_driver
IOWA,2024-12-01,category,AMERICAN SCHNAPPS,-0.05,top_driver
IOWA,2024-12-01,category,STRAIGHT BOURBON WHISKIES,0.0,top_driver
IOWA,2024-12-01,category,AMERICAN BRANDIES,0.0,top_driver
IOWA,2024-12-01,item,CROWN ROYAL MINI,0.15000000000000002,top_driver
IOWA,2024-12-01,store,WILTON EXPRESS,-6.15,top_driver
IOWA,2024-12-01,store,ALI'S CORNER / WATERLOO,-1.7999999999999998,top_driver
IOWA,2024-12-01,store,"CASEY'S GENERAL STORE #2488 / N ENGLISH",-0.85,top_driver
IOWA,2024-12-01,store,"CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG",0.7,top_driver
IOWA,2024-12-01,store,THE DEPOT WILLIAMSBURG,-0.55,top_driver
IOWA,2024-12-01,store,PRIMESTAR / MARENGO,0.0,top_driver
IOWA,2024-12-01,store,BIG G FOOD STORE,0.0,top_driver
IOWA,2024-12-01,store,"CASEY'S GENERAL STORE # 2774/AMANA",0.0,top_driver
JACKSON,2024-12-01,category,100% AGAVE TEQUILA,0.75,top_driver
JACKSON,2024-12-01,category,WHISKEY LIQUEUR,-0.5,top_driver
JACKSON,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,-0.25,top_driver
JACKSON,2024-12-01,category,AMERICAN VODKAS,0.0,top_driver
JACKSON,2024-12-01,item,PATRON SILVER,-0.3700000000000001,top_driver
JACKSON,2024-12-01,item,FIREBALL CINNAMON WHISKEY PARTY BUCKET,0.0,top_driver
JACKSON,2024-12-01,item,TITOS HANDMADE VODKA MINI,0.0,top_driver
JACKSON,2024-12-01,store,"CASEY'S GENERAL STORE #2915 / BELLEVUE",-13.4,top_driver
JACKSON,2024-12-01,store,OTTER CREEK STOP / ZWINGLE,0.65,top_driver
JACKSON,2024-12-01,store,KJ'S CONVENIENCE & DELI / MAQUOKETA,0.5,top_driver
JACKSON,2024-12-01,store,MAIN STREET TOBACCO SHOP / MAQUOKETA,-0.25,top_driver
JACKSON,2024-12-01,store,"CASEY'S GENERAL STORE #2846 / MAQUOKETA",0.2,top_driver
JASPER,2024-12-01,category,CANADIAN WHISKIES,6.25,top_driver
JASPER,2024-12-01,category,WHISKEY LIQUEUR,-0.7000000000000001,top_driver
JASPER,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-0.7,top_driver
JASPER,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,0.65,top_driver
JASPER,2024-12-01,category,FLAVORED RUM,0.5499999999999999,top_driver
JASPER,2024-12-01,category,IMPORTED CORDIALS & LIQUEURS,-0.5,top_driver
JASPER,2024-12-01,category,AMERICAN SCHNAPPS,0.05000000000000002,top_driver
JASPER,2024-12-01,item,OLE SMOKY CHERRY MOONSHINE,-0.75,top_driver
JASPER,2024-12-01,item,MALIBU COCONUT MINI,0.5499999999999999,top_driver
JASPER,2024-12-01,item,JAGERMEISTER LIQUEUR MINI,0.15,top_driver
JASPER,2024-12-01,item,FIREBALL CINNAMON WHISKEY MINI DISPENSER,-0.1,top_driver
JASPER,2024-12-01,item,BLACK VELVET APPLE,0.0,top_driver
JASPER,2024-12-01,item,99 BLUE RASPBERRIES MINI,0.0,top_driver
JASPER,2024-12-01,store,"CASEY'S GENERAL STORE #2237 / PRAIRIE CITY",6.25,top_driver
JASPER,2024-12-01,store,PIT STOP LIQUORS / NEWTON,-2.9499999999999997,top_driver
JASPER,2024-12-01,store,"HY-VEE FOOD STORE #1 (1449) / NEWTON",-0.7,top_driver
JASPER,2024-12-01,store,KELLOGG COUNTRY STORE,0.7,top_driver
JASPER,2024-12-01,store,HY-VEE GAS / NEWTON,-0.65,top_driver
JASPER,2024-12-01,store,"CASEY'S GENERAL STORE #2836 / MONROE",-0.5,top_driver
JASPER,2024-12-01,store,"CASEY'S GENERAL STORE #1911 / NEWTON",-0.35,top_driver
