account,sale_month,total_volume_liters,total_sales_dollars,total_bottles,active_locations,active_items,mom_volume_liters,mom_volume_pct,mom_sales_dollars,mom_sales_pct,yoy_volume_liters,yoy_volume_pct,roll3_volume_liters
JOHNSON,2023-12-01,3915.04,34149.96000000001,2427.0,27,38,3448.75,7.396148319715196,21168.27000000001,1.630625134323807,,,2573.45
POLK,2023-12-01,3322.760000000002,90026.04999999993,4790.0,126,187,-4418.81000000001,-0.5707899043734027,-48365.81999999983,-0.3494845470330007,,,5111.823333333344
LINN,2023-12-01,2858.6600000000017,46936.13000000001,3397.0,48,116,1493.0700000000038,1.093351591619744,20714.39999999999,0.7899707608918242,,,1843.8433333333326
DALLAS,2023-12-01,933.72,16164.759999999998,744.0,20,23,-1262.4900000000005,-0.5748493996475748,-23532.8,-0.5928021772622801,,,1450.8566666666666
DUBUQUE,2023-12-01,580.1400000000001,4715.0,459.0,16,29,199.69000000000005,0.5248784334340912,-5028.329999999998,-0.5160792049535425,,,352.3866666666667
SCOTT,2023-12-01,501.07000000000033,12094.39999999999,890.0,37,59,-56.87999999999914,-0.10194461869342987,-1309.5100000000039,-0.09769612001274287,,,1604.8266666666675
WOODBURY,2023-12-01,454.6400000000002,8373.909999999996,605.0,25,35,14.300000000000011,0.03247490575464415,1265.6599999999953,0.1780550768473246,,,480.46000000000004
CLINTON,2023-12-01,348.30000000000007,6234.1799999999985,385.0,12,29,61.329999999999984,0.21371571941317896,-3570.3500000000004,-0.3641531006585732,,,319.87000000000006
BLACK HAWK,2023-12-01,346.0100000000003,9715.929999999997,493.0,30,61,-1441.6699999999985,-0.8064474626331332,-16992.700000000023,-0.6362250703237122,,,828.6966666666664
MARION,2023-12-01,324.40000000000003,5613.88,202.0,5,9,-237.59999999999997,-0.4227758007117437,-1854.88,-0.24835180136997306,,,296.01666666666665
HUMBOLDT,2023-12-01,181.00000000000003,5486.339999999999,152.0,4,4,179.15000000000003,96.83783783783785,5235.639999999999,20.884084563222974,,,61.13333333333335
DICKINSON,2023-12-01,173.9,8780.75,241.0,5,9,121.65,2.3282296650717704,6509.24,2.865600415582586,,,94.66666666666667
SIOUX,2023-12-01,162.8,2542.17,122.0,3,4,149.3,11.05925925925926,2200.16,6.433028274027075,,,73.0
STORY,2023-12-01,162.0400000000001,3818.1600000000003,252.0,20,31,-1333.7499999999989,-0.8916692851269227,-27451.110000000004,-0.877894175335721,,,651.3499999999998
CERRO GORDO,2023-12-01,157.7700000000001,4261.49,764.0,12,31,-400.0799999999999,-0.7171820381823069,-5539.779999999997,-0.5652104268120355,,,271.47333333333336
MUSCATINE,2023-12-01,157.14000000000001,2950.4,186.0,10,21,-12.629999999999995,-0.07439476939388581,702.25,0.31236794697862685,,,122.47333333333334
CARROLL,2023-12-01,148.45,1931.83,116.0,8,13,55.19999999999999,0.5919571045576406,-1798.3799999999997,-0.48211226713777505,,,94.41666666666667
POTTAWATTAMIE,2023-12-01,114.96000000000004,4312.91,532.0,24,32,-155.57000000000016,-0.5750563708276348,-2732.7,-0.38785853886320704,,,422.9500000000001
DES MOINES,2023-12-01,98.74999999999999,2930.2200000000003,205.0,11,19,57.54999999999999,1.3968446601941746,2117.9300000000003,2.6073569784190376,,,87.69999999999999
IOWA,2023-12-01,97.34,1417.67,132.0,6,12,-119.40999999999997,-0.5509111880046136,-1628.0100000000002,-0.5345308765201859,,,119.33666666666666
CLAY,2023-12-01,91.04999999999998,1739.0400000000002,71.0,3,8,-5.27000000000001,-0.05471345514950177,605.6900000000003,0.534424493757445,,,63.389999999999986
WARREN,2023-12-01,83.08999999999999,1688.4600000000003,95.0,9,14,73.78999999999999,7.934408602150538,149.59000000000015,0.09720769135794455,,,135.45333333333335
JACKSON,2023-12-01,78.2,864.85,95.0,5,6,40.2,1.0578947368421054,-116.20999999999992,-0.1184535094693494,,,49.88333333333333
FLOYD,2023-12-01,75.72,788.03,52.0,3,8,74.92,93.64999999999999,607.16,3.3568861613313428,,,25.540000000000003
HENRY,2023-12-01,71.76999999999998,2002.4800000000002,237.0,6,7,61.26999999999998,5.835238095238093,1252.3500000000004,1.6695106181595196,,,292.13999999999993
CLARKE,2023-12-01,67.5,2362.5,90.0,1,1,3.0,0.046511627906976744,1165.8600000000001,0.9742779783393504,,,110.16666666666667
PLYMOUTH,2023-12-01,62.25,937.9799999999999,91.0,4,5,52.15,5.163366336633662,149.1199999999999,0.1890322744213167,,,26.483333333333334
BREMER,2023-12-01,61.21999999999999,1711.2800000000002,128.0,6,9,-54.830000000000005,-0.47246876346402417,247.50000000000023,0.1690827856645126,,,60.76333333333333
LEE,2023-12-01,56.10999999999999,1055.0500000000002,71.0,5,22,-5.410000000000004,-0.08793888166449941,-1004.7200000000003,-0.4877826165057264,,,74.12333333333332
GUTHRIE,2023-12-01,53.25,537.0,31.0,2,2,39.349999999999994,2.8309352517985604,199.64999999999998,0.5918185860382391,,,22.666666666666668
MARSHALL,2023-12-01,48.03999999999999,1312.67,74.0,9,22,-79.23,-0.6225347686021844,-2703.53,-0.6731562173198546,,,96.50333333333333
ALLAMAKEE,2023-12-01,46.87,519.38,31.0,3,6,-43.35,-0.48049213034803817,-483.05000000000007,-0.4818790339475076,,,47.446666666666665
PALO ALTO,2023-12-01,45.349999999999994,1101.94,52.0,6,7,4.850000000000001,0.11975308641975314,514.18,0.8748128487818154,,,29.616666666666664
SHELBY,2023-12-01,43.949999999999996,607.0799999999999,36.0,2,7,-4.100000000000001,-0.08532778355879296,-1395.4600000000003,-0.6968450068413116,,,163.88333333333335
OSCEOLA,2023-12-01,42.75,422.98,26.0,1,2,42.0,56.0,381.62,9.22678916827853,,,15.0
WINNESHIEK,2023-12-01,36.4,588.99,41.0,4,5,28.65,3.696774193548387,259.98,0.790188748062369,,,32.81666666666667
GRUNDY,2023-12-01,36.0,701.64,36.0,1,1,35.15,41.35294117647058,552.24,3.6963855421686747,,,12.483333333333334
SAC,2023-12-01,33.25,336.38,20.0,2,3,-75.75,-0.694954128440367,-776.58,-0.6977609258194365,,,49.13333333333333
WASHINGTON,2023-12-01,32.650000000000006,1048.06,79.0,8,10,28.600000000000005,7.06172839506173,-528.5700000000002,-0.335253039711283,,,38.11666666666667
WEBSTER,2023-12-01,32.60000000000001,1915.7600000000002,118.0,11,16,27.65000000000001,5.585858585858587,1128.52,1.4335145571871346,,,31.55
BENTON,2023-12-01,23.85,1268.61,62.0,7,20,15.850000000000001,1.9812500000000002,908.0699999999999,2.5186387086037607,,,15.473333333333334
DELAWARE,2023-12-01,22.4,639.04,32.0,3,5,-7.450000000000003,-0.24958123953098835,-453.0799999999999,-0.41486283558583303,,,35.75
CHEROKEE,2023-12-01,21.07,416.86,195.0,3,4,-24.230000000000004,-0.5348785871964681,-314.9599999999999,-0.4303790549588696,,,27.44
MONTGOMERY,2023-12-01,19.5,380.0,198.0,3,3,19.45,388.99999999999994,308.0,4.277777777777778,,,7.6499999999999995
WAPELLO,2023-12-01,16.650000000000006,831.69,38.0,8,15,11.530000000000005,2.2519531250000004,419.39000000000004,1.01719621634732,,,33.04
JASPER,2023-12-01,12.0,612.7800000000001,43.0,9,10,-33.69,-0.737360472751149,-603.0300000000001,-0.4959903274360303,,,39.74333333333333
BUENA VISTA,2023-12-01,11.670000000000002,380.09000000000003,30.0,5,9,9.8,5.240641711229947,340.19000000000005,8.526065162907269,,,36.00333333333334
WAYNE,2023-12-01,10.75,297.09,10.0,3,5,8.58,3.953917050691244,193.43999999999997,1.866280752532561,,,4.956666666666667
BOONE,2023-12-01,9.75,1162.2,71.0,9,15,5.73,1.4253731343283584,1014.47,6.867054762065931,,,6.456666666666666
MAHASKA,2023-12-01,9.5,725.29,62.0,5,11,-48.24999999999999,-0.8354978354978355,-213.31999999999994,-0.2272722429976241,,,24.073333333333334
CRAWFORD,2023-12-01,8.940000000000001,870.82,69.0,5,8,5.240000000000001,1.4162162162162164,373.35,0.7504975174382374,,,19.263333333333335
POWESHIEK,2023-12-01,8.469999999999999,234.46999999999997,26.0,6,8,4.919999999999998,1.385915492957746,-94.62,-0.2875201312710809,,,6.38
LYON,2023-12-01,8.0,177.13,10.0,4,5,7.25,9.666666666666666,156.15,7.4428026692087705,,,5.1000000000000005
O'BRIEN,2023-12-01,7.949999999999999,470.46000000000004,22.0,5,8,-100.35,-0.9265927977839334,-617.96,-0.5677587695926205,,,54.139999999999986
PAGE,2023-12-01,7.9,694.9200000000001,60.0,5,10,6.8500000000000005,6.523809523809524,565.6400000000001,4.375309405940595,,,4.156666666666667
HARRISON,2023-12-01,7.02,385.68,19.0,4,8,2.5699999999999994,0.5775280898876403,212.37,1.2253764929894408,,,8.88
MONONA,2023-12-01,6.3,169.63,12.0,2,8,1.0,0.18867924528301888,73.44,0.7634889281630107,,,6.3566666666666665
BUCHANAN,2023-12-01,6.14,739.7,30.0,6,11,0.7699999999999996,0.14338919925512095,446.7300000000001,1.5248318940505858,,,34.67
WRIGHT,2023-12-01,6.07,114.27,15.0,3,4,2.0200000000000005,0.49876543209876556,-41.13000000000001,-0.2646718146718147,,,127.42333333333335
JONES,2023-12-01,5.69,397.46000000000004,18.0,4,10,0.020000000000000462,0.0035273368606702753,200.31000000000003,1.0160284047679433,,,88.80333333333334
MILLS,2023-12-01,5.67,401.72999999999996,24.0,4,9,5.52,36.79999999999999,310.14,3.3861775302980672,,,3.396666666666667
BUTLER,2023-12-01,4.6,156.44,16.0,2,2,3.3799999999999994,2.770491803278688,96.05,1.5904951150852789,,,2.34
HARDIN,2023-12-01,4.3,608.96,72.0,4,6,1.4,0.48275862068965514,142.81,0.3063606135364153,,,4.6499999999999995
APPANOOSE,2023-12-01,4.0,42.0,4.0,1,1,3.3,4.714285714285714,-193.8,-0.821882951653944,,,12.483333333333334
MADISON,2023-12-01,3.2,236.99,20.0,3,4,2.08,1.857142857142857,215.48000000000002,10.01766620176662,,,2.24
FAYETTE,2023-12-01,3.1,161.26,18.0,2,2,-3.449999999999999,-0.5267175572519083,-321.90000000000003,-0.6662389270634986,,,26.7
CLAYTON,2023-12-01,3.0,169.51,4.0,2,3,0.3999999999999999,0.1538461538461538,-204.47000000000003,-0.5467404674046741,,,14.666666666666666
IDA,2023-12-01,3.0,79.48,5.0,3,3,2.95,59.0,73.03,11.322480620155039,,,28.150000000000002
CEDAR,2023-12-01,2.9,420.15,50.0,5,5,1.25,0.7575757575757576,272.55999999999995,1.8467375838471436,,,1.8
UNION,2023-12-01,2.7500000000000004,450.5,34.0,4,7,1.6500000000000004,1.5000000000000002,312.28999999999996,2.259532595325953,,,54.18333333333333
WINNEBAGO,2023-12-01,2.75,336.28000000000003,13.0,4,6,-1.5,-0.35294117647058826,-37.69,-0.10078348530630798,,,3.233333333333333
POCAHONTAS,2023-12-01,2.4,309.6,48.0,1,1,0.8999999999999999,0.6,114.60000000000002,0.5876923076923078,,,1.6900000000000002
TAYLOR,2023-12-01,2.35,199.05,5.0,3,3,2.15,10.749999999999998,64.05000000000001,0.4744444444444445,,,1.0999999999999999
HANCOCK,2023-12-01,2.0,183.3,12.0,2,2,-58.75,-0.9670781893004116,-292.94,-0.61511002855703,,,21.616666666666664
FREMONT,2023-12-01,1.82,138.22,17.0,2,3,-6.379999999999999,-0.7780487804878048,-130.54,-0.4857121595475517,,,3.5233333333333334
EMMET,2023-12-01,1.8,103.53999999999999,8.0,2,2,1.75,35.0,26.139999999999986,0.3377260981912143,,,2.983333333333333
TAMA,2023-12-01,1.5,113.23,2.0,2,2,1.45,28.999999999999996,57.970000000000006,1.0490408975750998,,,0.7999999999999999
LUCAS,2023-12-01,1.35,159.0,13.0,1,2,-0.3999999999999999,-0.2285714285714285,114.03,2.5356904603068715,,,1.9166666666666667
JEFFERSON,2023-12-01,1.2999999999999998,224.74,26.0,2,3,-1.1,-0.45833333333333337,-276.17999999999995,-0.5513455242354068,,,1.9833333333333334
VAN BUREN,2023-12-01,1.2,41.76,6.0,1,1,1.15,22.999999999999996,34.559999999999995,4.799999999999999,,,0.48333333333333334
ADAMS,2023-12-01,0.95,93.47,5.0,2,2,0.19999999999999996,0.2666666666666666,80.96,6.471622701838529,,,0.6166666666666667
HOWARD,2023-12-01,0.85,60.379999999999995,3.0,1,3,0.09999999999999998,0.1333333333333333,51.74999999999999,5.996523754345306,,,0.7999999999999999
HAMILTON,2023-12-01,0.8,122.25,2.0,1,2,-0.9999999999999998,-0.5555555555555555,-384.75,-0.7588757396449705,,,3.6
WORTH,2023-12-01,0.75,39.0,1.0,1,1,0.0,0.0,2.25,0.061224489795918366,,,11.066666666666668
CALHOUN,2023-12-01,0.75,18.75,1.0,1,1,0.6,3.999999999999999,-28.510000000000005,-0.6032585696148963,,,0.31666666666666665
CASS,2023-12-01,0.55,245.20000000000002,11.0,3,6,0.20000000000000007,0.5714285714285716,-175.10000000000005,-0.4166071853438021,,,0.3333333333333333
GREENE,2023-12-01,0.4,62.56,8.0,2,2,-0.7999999999999999,-0.6666666666666666,-103.52000000000001,-0.6233140655105973,,,0.6
KOSSUTH,2023-12-01,0.3,43.56,6.0,1,1,-0.45,-0.6,13.560000000000002,0.45200000000000007,,,1.15
LOUISA,2023-12-01,0.3,43.56,6.0,1,1,0.09999999999999998,0.4999999999999999,-8.96,-0.1706016755521706,,,0.5566666666666668
MONROE,2023-12-01,0.25,59.78,5.0,1,3,-0.15000000000000002,-0.37500000000000006,-45.260000000000005,-0.4308834729626809,,,0.25
CHICKASAW,2023-12-01,0.15,51.75,3.0,1,1,-51.75,-0.9971098265895953,-765.51,-0.9366786579546289,,,26.783333333333335
AUDUBON,2023-12-01,0.05,25.2,1.0,1,1,-5.7,-0.991304347826087,-91.0,-0.7831325301204819,,,2.183333333333333
FRANKLIN,2023-12-01,0.05,13.31,1.0,1,1,0.0,0.0,6.86,1.0635658914728683,,,0.25000000000000006
KEOKUK,2023-12-01,0.05,7.2,1.0,1,1,-4.7,-0.9894736842105264,-32.54,-0.8188223452440865,,,2.9333333333333336
POLK,2024-01-01,2466.9800000000037,51745.78000000001,3913.0,127,161,-855.7799999999984,-0.25755095161853336,-38280.26999999992,-0.4252132577181821,-782.009999999998,-0.240693261598219,4510.436666666673
LINN,2024-01-01,1070.019999999997,21256.120000000017,1486.0,44,88,-1788.6400000000046,-0.625691757676675,-25680.009999999995,-0.5471267017540643,238.44999999999754,0.28674675613598094,1764.7566666666655
JOHNSON,2024-01-01,1007.9100000000001,19717.130000000012,903.0,32,46,-2907.13,-0.7425543544893539,-14432.829999999994,-0.4226309489088711,743.6300000000001,2.8137959739670046,1796.4133333333332
WOODBURY,2024-01-01,779.7599999999998,14954.629999999996,994.0,20,38,325.11999999999955,0.7151152560267451,6580.719999999999,0.7858598910186523,647.6699999999998,4.903247785600726,558.2466666666668
DALLAS,2024-01-01,616.5699999999998,8982.129999999997,501.0,15,23,-317.1500000000002,-0.3396628539605023,-7182.630000000001,-0.4443387962456604,504.04999999999984,4.479648062566653,1248.8333333333333
STORY,2024-01-01,559.8699999999998,5474.659999999998,405.0,18,22,397.8299999999997,2.455134534682791,1656.4999999999977,0.43384771722505017,34.15999999999997,0.06497879058796671,739.233333333333
POTTAWATTAMIE,2024-01-01,470.5200000000004,10380.269999999991,545.0,27,41,355.56000000000034,3.092901878914407,6067.3599999999915,1.4067903109501454,135.15000000000032,0.40298774487879147,285.3366666666669
BLACK HAWK,2024-01-01,443.8900000000001,16206.499999999998,630.0,31,61,97.87999999999982,0.28288199763012556,6490.5700000000015,0.6680338372137308,64.20999999999987,0.1691160977665398,859.193333333333
SCOTT,2024-01-01,398.7900000000002,7789.599999999999,727.0,29,52,-102.28000000000014,-0.2041231764024988,-4304.799999999991,-0.35593332451382415,-366.6599999999994,-0.4790123456790118,485.93666666666667
CERRO GORDO,2024-01-01,309.2200000000001,5143.11,264.0,12,23,151.45,0.959941687266273,881.6199999999999,0.2068806919645476,300.0000000000001,32.53796095444687,341.6133333333334
